District,WorkOrderNum,DeviationName,CorrectionTime,Category,DeviationStatus,DateOfDeviation,SubCategory,Designation,IsPenalty,ServiceAffecting,Month,DeviationShort
JEDDAH,2521001669,ALL REQUIRED WORKER UNIFORM AND SAFETY ITEMS ARE PRESENT?,48,Installation,Correction accepted by supervisor,2026-03-11 02:21:49.867,Safety,SAFETY,N,NO,2026-03,Worker PPE/uniform items missing
JEDDAH,2521001669,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,0,Installation,Correction accepted by supervisor,2026-03-11 02:21:50.673,Safety,SAFETY,Y,NO,2026-03,STC safety measures not followed
JEDDAH,2521001669,ALL HANDHOLES / MANHOLES ARE INSTALLED AS PER STC REQUIREMENTS?,72,Installation,Correction accepted by supervisor,2026-03-11 02:47:06.923,Hand hole/Manhole,CIVIL,Y,NO,2026-03,HH/MH not as per STC requirements
JEDDAH,2521001669,IS THE TRENCH ROUTE STRAIGHT?,72,Trenching/bore,Correction accepted by supervisor,2026-03-11 02:47:11.167,CIVIL,CIVIL,N,NO,2026-03,Trench route not straight
JEDDAH,2521001669,NUMBER OF SIGNBOARDS AVAILABLE IN THE SITE ARE SUFFICIENT?,72,Installation,Correction accepted by supervisor,2026-03-11 02:47:15.113,Safety,CIVIL,N,NO,2026-03,Insufficient site signboards
JEDDAH,2521001669,IS THE TRENCH SEGMENT BACKFILLED WITH INSPECTOR APPROVAL?,0,Trenching/bore,Correction accepted by supervisor,2026-03-15 13:01:48.053,CIVIL,CIVIL,Y,NO,2026-03,IS THE TRENCH SEGMENT BACKFILLED WITH INSPECTOR APPROVAL?
JEDDAH,2521001669,NO DEBRIS IS REMAINING ON THE SITE?,48,Installation,Correction accepted by supervisor,2026-03-15 13:01:50.300,CIVIL,CIVIL,Y,NO,2026-03,No debris remaining on site
JEDDAH,2521001669,ALL HANDHOLES / MANHOLES ARE INSTALLED AS PER STC REQUIREMENTS?,72,Installation,Correction accepted by supervisor,2026-03-15 13:01:58.300,Hand hole/Manhole,CIVIL,Y,NO,2026-03,HH/MH not as per STC requirements
JEDDAH,2521001669,NUMBER OF SIGNBOARDS AVAILABLE IN THE SITE ARE SUFFICIENT?,72,Installation,Correction accepted by supervisor,2026-03-16 00:28:44.503,Safety,CIVIL,Y,NO,2026-03,Insufficient site signboards
JEDDAH,2521001669,NO DEBRIS IS REMAINING ON THE SITE?,48,Installation,Correction accepted by supervisor,2026-03-17 01:26:46.317,CIVIL,CIVIL,Y,NO,2026-03,No debris remaining on site
