Deviation,Count,Share_%
Worker missing STC ID badge,37,10.05
No debris remaining on site,37,10.05
STC safety measures not followed,33,8.97
Unregistered worker,26,7.07
Uncertified worker,25,6.79
Pedestrian passes not placed every 100m,18,4.89
Property damage not restored,15,4.08
U-guards not meeting STC specs,15,4.08
Trench route not straight,14,3.8
Worker PPE/uniform items missing,12,3.26
Municipality permits not valid/renewed,11,2.99
Insufficient site signboards,10,2.72
HH/MH not as per STC requirements,9,2.45
Municipality permit not on signboard,8,2.17
Trench not closed within 24 hours,7,1.9
THE TRENCH DEPTH IS AS PER DESIGN SPECIFICATIONS AND MEETS STC REQUIREMENTS?,7,1.9
"SIGNBOAD AS PER STC SPECIFICATION (DEMINSIONS, CLARITY, …ETC)?",7,1.9
"THE BACKFILL MATERIALS SAND, CONCRETE, SUB BASE MEET SPECS/STANDARDS?",5,1.36
THE SPACERS ARE INSTALLED AS REQUIRED PER STC SPECIFICATIONS?,5,1.36
THE CONDUITS ARE INSTALLED PER STC SPECIFICATIONS?,5,1.36
STAND ALONE POWER SOURCE,4,1.09
THE INSIDES OF THE INSTALLED MANHOLES / HANDHOLES ARE CLEAN AND ORANGANIZED (EXISTING,4,1.09
HAS THE CABLE BEEN PLACED AS PER DESIGN AND AS PER STC SPECIFICATIONS?,4,1.09
HAS REINSTATEMENT BEEN COMPLETED WITHIN 120 HOURS OF TRENCH COMPLETION (CONCRETE PLAC,4,1.09
ARE THE CABLES ROUTED AND RACKED CORRECTLY IN EACH MANHOLE / HANDHOLE?,4,1.09
ALL VACANT DUCTS HAVE A PULL STRING AND THE PROPER DUCT SEALANT HAS BEEN APPLIED?,3,0.82
THE TRENCH WIDTH IS AS PER DESIGN SPECIFICATIONS AND MEETS STC REQUIREMENTS?,3,0.82
MARKING TAPE PLACED AS PER STC SPECIFICATIONS (WARNING TAPE)?,3,0.82
ARE ALL TB / OSB / ODB HAVE BEEN PROPERLY INSTALLED?,3,0.82
IS THE TRENCH SEGMENT BACKFILLED WITH INSPECTOR APPROVAL?,2,0.54
"CONTRACTOR DETAILS AVAILBLE ON THE SIGNBOARD (NAME, PHONE NUMBER, … ETC)",2,0.54
THE INSTALLED HAND HOLE / MANHOLE  INCLUDES ALL REQUIRED ACCESSORIES?,2,0.54
ALL  EXCESS MATERIAL AND WORK SCRAP HAS BEEN REMOVED FROM WORK SITE?,2,0.54
WORK HAS BEEN CLEANED AND RETURNED TO ORIGINAL STATE ?,2,0.54
CONTRACTOR’S SIGNBOARD COMPLIED WITH THE PROJECT AND CONTRACTOR NAME ?,2,0.54
HAS THE CABLE DRUM BEEN PLACED VERTICALLY DURING PULLING?,2,0.54
DETECTABLE EMS PLACED AS PER STC SPECIFICATION?,1,0.27
ALL CONDUITS HAVE BEEN SEALED PER STC STANDARDS BOTH INSIDE AND OUTSIDE OF THE MANHOL,1,0.27
THE REINSTATEMENT HAS BEEN COMPLETED AND MEETS MUNICIPALITY CLOSING REQUIREMENTS?,1,0.27
ALL FIBERS ARE SPLICED IN CABINETS AND TERMINALS AS PER STC GUIDELINES?,1,0.27
THE ASPHALT / CONCRETE WAS PROVIDED BY STC APPROVED SUPPLIER?,1,0.27
ALL DUCTS HAVE BEEN INSPECTED AND ARE FREE OF DAMAGE AND DEFECTS AND INCLUDE PROPER L,1,0.27
ONLY PROPER FIBER OPTIC TOOLS ARE USED DURING INSTALLATION?,1,0.27
"ARE ALL TERMINALS (TB, OSB, ODB), CABINETS LABELED WITH PROPER IDENTIFICATION AND INF",1,0.27
ALL  MATERIALS  PLACED AS CALLED FOR BY APPROVED DESIGN AND APPROVED STC SPECIFICATIO,1,0.27
ALL MATERIALS INSTALLED ARE FROM APPROVED SUPPLIER AND HAVE A VALID STC TYPE APPROVAL,1,0.27
"Is the H&S plan available, stamped and signed by contractor/ subcontractor?",1,0.27
Unregistered Subcontractor,1,0.27
Are stc existing NW infrastructure drawings available on site and marked on the groun,1,0.27
CONTRACTOR MARKED THE TRENCH PATH AS PER THE DESIGN BEFORE START TRENCHING ?,1,0.27
DID THE CONTRACTOR FIX ANY DAMAGED UTILITIES WITHIN 24 HOURS?,1,0.27
BADGE ID NOT CORRESPONDING TO WORKER,1,0.27
